"","Site","Pol_sp","Plant_sp","Links"
"487",14,"T.orthodoxus","Cirsium_vulgare",0
"488",14,"A.mellifera","Cordyline_sp",2
"489",14,"D.platura","Cordyline_sp",0
"490",14,"L.sordidum","Cordyline_sp",0
"491",14,"O.atrovirens","Cordyline_sp",0
"492",14,"O.varia","Cordyline_sp",0
"493",14,"P.marginata","Cordyline_sp",0
"494",14,"P.pseudorudis","Cordyline_sp",0
"495",14,"T.orthodoxus","Cordyline_sp",0
"496",14,"A.mellifera","Eucalyptus_globulus",3
"497",14,"D.platura","Eucalyptus_globulus",0
"498",14,"L.sordidum","Eucalyptus_globulus",0
"499",14,"O.atrovirens","Eucalyptus_globulus",0
"500",14,"O.varia","Eucalyptus_globulus",0
"501",14,"P.marginata","Eucalyptus_globulus",0
"502",14,"P.pseudorudis","Eucalyptus_globulus",0
"503",14,"T.orthodoxus","Eucalyptus_globulus",0
"504",14,"A.mellifera","Lolium_sp",0
"505",14,"D.platura","Lolium_sp",1
"506",14,"L.sordidum","Lolium_sp",1
"507",14,"O.atrovirens","Lolium_sp",0
"508",14,"O.varia","Lolium_sp",1
"509",14,"P.marginata","Lolium_sp",1
"510",14,"P.pseudorudis","Lolium_sp",0
"511",14,"T.orthodoxus","Lolium_sp",2
"512",14,"A.mellifera","Raphanus_sp",0
"513",14,"D.platura","Raphanus_sp",0
"514",14,"L.sordidum","Raphanus_sp",0
"515",14,"O.atrovirens","Raphanus_sp",0
"516",14,"O.varia","Raphanus_sp",0
"517",14,"P.marginata","Raphanus_sp",0
"518",14,"P.pseudorudis","Raphanus_sp",1
"519",14,"T.orthodoxus","Raphanus_sp",0
"520",14,"A.mellifera","Rubus_fruticosus",1
"521",14,"D.platura","Rubus_fruticosus",0
"522",14,"L.sordidum","Rubus_fruticosus",0
"523",14,"O.atrovirens","Rubus_fruticosus",0
"524",14,"O.varia","Rubus_fruticosus",0
"525",14,"P.marginata","Rubus_fruticosus",0
